院校名称,2024最低分,2024位次,2023最低分,2023位次,2022最低分,2022位次
中国计量大学现代科技学院,535,121000,531,124000,528,127000
杭州商学院,534,122000,530,125000,527,128000
宁波财经学院,533,123000,529,126000,526,129000
杭州医学院,532,124000,528,127000,525,130000
湖州学院,531,125000,527,128000,524,131000
嘉兴南湖学院,530,126000,526,129000,523,132000
温州理工学院,529,127000,525,130000,522,133000
浙江外国语学院,528,128000,524,131000,521,134000
浙江传媒学院,527,129000,523,132000,520,135000
浙江警察学院,526,130000,522,133000,519,136000
浙江体育职业技术学院,525,131000,521,134000,518,137000
浙江艺术职业学院,524,132000,520,135000,517,138000
浙江工商职业技术学院,523,133000,519,136000,516,139000
浙江金融职业学院,522,134000,518,137000,515,140000
浙江经济职业技术学院,521,135000,517,138000,514,141000
浙江经贸职业技术学院,520,136000,516,139000,513,142000
浙江建设职业技术学院,493,176832,485,182000,490,175000
浙江交通职业技术学院,492,177832,484,183000,489,176000
浙江机电职业技术学院,491,178832,483,184000,488,177000
浙江商业职业技术学院,490,179832,482,185000,487,178000
浙江旅游职业学院,489,180832,481,186000,486,179000
浙江警官职业学院,488,181832,480,187000,485,180000
浙江水利水电专科学校,487,182832,479,188000,484,181000
浙江医学高等专科学校,486,183832,478,189000,483,182000
浙江树人学院,485,184832,477,190000,482,183000
浙江育英职业技术学院,484,185832,476,191000,481,184000
浙江东方职业技术学院,483,186832,475,192000,480,185000
浙江广厦建设职业技术大学,482,187832,474,193000,479,186000
浙江横店影视职业学院,481,188832,473,194000,478,187000
浙江经济职业技术学院,480,189832,472,195000,477,188000
浙江经贸职业技术学院,479,190832,471,196000,476,189000
浙江金融职业学院,478,191832,470,197000,475,190000
浙江工商职业技术学院,477,192832,469,198000,474,191000
浙江建设职业技术学院,476,193832,468,199000,473,192000
浙江交通职业技术学院,475,194832,467,200000,472,193000
浙江机电职业技术学院,474,195832,466,201000,471,194000
浙江商业职业技术学院,473,196832,465,202000,470,195000
浙江旅游职业学院,472,197832,464,203000,469,196000
浙江警官职业学院,471,198832,463,204000,468,197000
浙江水利水电专科学校,470,199832,462,205000,467,198000
浙江医学高等专科学校,469,200832,461,206000,466,199000
浙江树人学院,468,201832,460,207000,465,200000
浙江育英职业技术学院,467,202832,459,208000,464,201000
浙江东方职业技术学院,466,203832,458,209000,463,202000
浙江广厦建设职业技术大学,465,204832,457,210000,462,203000
浙江横店影视职业学院,464,205832,456,211000,461,204000
