日期,总销量,总销售额
2025-05-17,3488,97838
2025-05-18,3147,92588
2025-05-19,2756,76019
2025-05-20,2481,66592
2025-05-21,2557,69547
2025-05-22,2533,69757
2025-05-23,2654,73895
2025-05-24,3492,95090
2025-05-25,3267,89623
2025-05-26,2581,74697
2025-05-27,2508,72228
2025-05-28,2818,74967
2025-05-29,2557,70120
2025-05-30,2721,77113
2025-05-31,3526,97195
2025-06-01,3502,95427
2025-06-02,2707,73093
2025-06-03,2562,72210
2025-06-04,2522,69576
2025-06-05,2429,67208
2025-06-06,2666,71874
2025-06-07,3335,98362
2025-06-08,3644,99495
2025-06-09,2487,71478
2025-06-10,2425,69276
2025-06-11,2586,71622
2025-06-12,2604,73953
2025-06-13,2661,73647
2025-06-14,3510,99684
2025-06-15,3366,92951
2025-06-16,2599,75603
2025-06-17,2300,62870
2025-06-18,2540,71087
2025-06-19,2643,74089
2025-06-20,2488,70688
2025-06-21,3212,86798
2025-06-22,3353,94549
2025-06-23,2578,70495
2025-06-24,2709,70673
2025-06-25,2701,75540
2025-06-26,2466,69688
2025-06-27,2404,70498
2025-06-28,3368,96871
2025-06-29,3344,93123
2025-06-30,2445,67234
2025-07-01,2749,79030
2025-07-02,2529,70518
2025-07-03,2667,76806
2025-07-04,2493,70182
2025-07-05,3258,92430
2025-07-06,3638,101810
2025-07-07,2663,74175
2025-07-08,2598,73086
2025-07-09,2608,74256
2025-07-10,2632,70219
2025-07-11,2729,77555
2025-07-12,3481,93927
2025-07-13,3424,95456
2025-07-14,2648,73040
2025-07-15,2615,75901
2025-07-16,2692,73450
2025-07-17,2693,73245
2025-07-18,2770,73485
2025-07-19,3388,94822
2025-07-20,3167,91550
2025-07-21,2582,71479
2025-07-22,2554,71803
2025-07-23,2554,70826
2025-07-24,2509,70090
2025-07-25,2685,74714
2025-07-26,3638,97334
2025-07-27,3446,90984
2025-07-28,2405,67708
2025-07-29,2828,73572
2025-07-30,2643,72737
2025-07-31,2562,71913
2025-08-01,2595,70068
2025-08-02,3552,100535
2025-08-03,3497,95738
2025-08-04,2748,75510
2025-08-05,2632,72475
2025-08-06,2692,75532
2025-08-07,2563,72209
2025-08-08,2582,71557
2025-08-09,3288,90769
2025-08-10,3301,91268
2025-08-11,2395,70095
2025-08-12,2552,70221
2025-08-13,2627,75379
2025-08-14,2670,75224
2025-08-15,2535,73592
2025-08-16,3443,98552
2025-08-17,3295,94818
2025-08-18,2622,73135
2025-08-19,2448,69104
2025-08-20,2721,76797
2025-08-21,2611,73014
2025-08-22,2767,73628
2025-08-23,3236,90242
2025-08-24,3158,86041
2025-08-25,2541,75282
2025-08-26,2514,67777
2025-08-27,2564,73160
2025-08-28,2263,64170
2025-08-29,2667,73239
2025-08-30,3541,98663
2025-08-31,3422,99511
2025-09-01,3364,97856
2025-09-02,3631,93045
2025-09-03,3513,98848
2025-09-04,3418,94991
2025-09-05,3636,95775
2025-09-06,4485,126051
2025-09-07,4756,135917
2025-09-08,3456,95808
2025-09-09,3145,90421
2025-09-10,3477,99844
2025-09-11,3574,97428
2025-09-12,3451,98756
2025-09-13,4321,120705
2025-09-14,4310,118072
2025-09-15,3379,94137
2025-09-16,3389,93156
2025-09-17,3260,95370
2025-09-18,3302,92788
2025-09-19,3252,88218
2025-09-20,4454,124256
2025-09-21,4341,113977
2025-09-22,3319,91950
2025-09-23,3313,90120
2025-09-24,3483,94348
2025-09-25,3335,91653
2025-09-26,3266,89953
2025-09-27,4351,122159
2025-09-28,4318,119557
2025-09-29,3461,96351
2025-09-30,3409,93009
2025-10-01,5390,147716
2025-10-02,5193,145673
2025-10-03,5185,147027
2025-10-04,6675,181477
2025-10-05,6090,175841
2025-10-06,5342,150871
2025-10-07,4813,137517
2025-10-08,3541,96044
2025-10-09,3303,89721
2025-10-10,3201,87452
2025-10-11,4240,121432
2025-10-12,4036,113665
2025-10-13,3351,89449
2025-10-14,3587,98018
2025-10-15,3114,89428
2025-10-16,3436,92245
2025-10-17,3470,94580
2025-10-18,4411,119089
2025-10-19,4427,115641
2025-10-20,3542,101240
2025-10-21,3307,90161
2025-10-22,3396,95295
2025-10-23,3273,90732
2025-10-24,3497,95716
2025-10-25,4348,121494
2025-10-26,4668,122647
2025-10-27,3659,97202
2025-10-28,3182,87926
2025-10-29,3469,98276
2025-10-30,3406,95757
2025-10-31,3425,94610
2025-11-01,3444,93282
2025-11-02,3185,89255
2025-11-03,2430,65277
2025-11-04,2826,78484
2025-11-05,2547,72736
2025-11-06,2533,72193
2025-11-07,2496,68473
2025-11-08,3417,91709
2025-11-09,3196,92576
2025-11-10,2632,70346
2025-11-11,2749,77516
2025-11-12,2620,69404
2025-11-13,2561,69878
2025-11-14,2573,74601
2025-11-15,3427,98482
2025-11-16,3163,94429
2025-11-17,2485,70382
2025-11-18,2742,75430
2025-11-19,2632,69421
2025-11-20,2577,75695
2025-11-21,2618,72318
2025-11-22,3300,90869
2025-11-23,3505,100378
2025-11-24,2482,70929
2025-11-25,2439,68321
2025-11-26,2767,77365
2025-11-27,2681,72867
2025-11-28,2506,73470
2025-11-29,3504,95428
2025-11-30,3567,102298
2025-12-01,2666,72114
2025-12-02,2728,73850
2025-12-03,2632,72554
2025-12-04,2601,73102
2025-12-05,2361,67464
2025-12-06,3371,92599
2025-12-07,3438,88816
2025-12-08,2393,70215
2025-12-09,2654,72480
2025-12-10,2594,72342
2025-12-11,2715,75620
2025-12-12,2635,72417
2025-12-13,3222,90010
2025-12-14,3334,92026
2025-12-15,2691,77247
2025-12-16,2520,70951
2025-12-17,2675,71913
2025-12-18,2568,75562
2025-12-19,2635,73732
2025-12-20,3391,95601
2025-12-21,3526,95138
2025-12-22,2664,77748
2025-12-23,2366,67881
2025-12-24,2698,73180
2025-12-25,2640,71889
2025-12-26,2659,76602
2025-12-27,3506,96665
2025-12-28,3429,96351
2025-12-29,2537,69610
2025-12-30,2727,78480
2025-12-31,2731,71677
