日期,店铺 ID,店铺名称,区域,品类 ID,品牌,品规,价格,档次,销售数量,销售金额
2025-01-01,S002,下城区烟草直营店,下城区,P011,南京,雨花石,55,高档,19,1045
2025-01-01,S002,下城区烟草直营店,下城区,P012,黄山,硬黄山,10,低档,49,490
2025-01-01,S002,下城区烟草直营店,下城区,P013,黄山,徽商新视界,100,高档,14,1400
2025-01-01,S002,下城区烟草直营店,下城区,P014,玉溪,硬玉溪,23,中档,19,437
2025-01-01,S002,下城区烟草直营店,下城区,P015,云烟,硬云烟,10,低档,33,330
2025-01-01,S003,江宁区便民烟酒店,江宁区,P001,中华,硬中华,45,高档,19,855
2025-01-01,S003,江宁区便民烟酒店,江宁区,P002,中华,软中华,65,高档,6,390
2025-01-01,S003,江宁区便民烟酒店,江宁区,P003,利群,硬利群,14,中档,13,182
2025-01-01,S003,江宁区便民烟酒店,江宁区,P004,利群,软利群,22,中档,37,814
2025-01-01,S003,江宁区便民烟酒店,江宁区,P005,利群,阳光利群,36,高档,14,504
2025-01-01,S003,江宁区便民烟酒店,江宁区,P006,芙蓉王,硬芙蓉王,25,中档,25,625
2025-01-01,S003,江宁区便民烟酒店,江宁区,P007,芙蓉王,软芙蓉王,35,高档,17,595
2025-01-01,S003,江宁区便民烟酒店,江宁区,P008,黄鹤楼,硬黄鹤楼,20,中档,21,420
2025-01-01,S003,江宁区便民烟酒店,江宁区,P009,黄鹤楼,软黄鹤楼,50,高档,18,900
2025-01-01,S003,江宁区便民烟酒店,江宁区,P010,南京,硬南京,12,低档,22,264
2025-01-01,S003,江宁区便民烟酒店,江宁区,P011,南京,雨花石,55,高档,22,1210
2025-01-01,S003,江宁区便民烟酒店,江宁区,P012,黄山,硬黄山,10,低档,23,230
2025-01-01,S003,江宁区便民烟酒店,江宁区,P013,黄山,徽商新视界,100,高档,19,1900
2025-01-01,S003,江宁区便民烟酒店,江宁区,P014,玉溪,硬玉溪,23,中档,12,276
2025-01-01,S003,江宁区便民烟酒店,江宁区,P015,云烟,硬云烟,10,低档,46,460
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P001,中华,硬中华,45,高档,12,540
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P002,中华,软中华,65,高档,17,1105
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P003,利群,硬利群,14,中档,38,532
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P004,利群,软利群,22,中档,17,374
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P005,利群,阳光利群,36,高档,26,936
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P006,芙蓉王,硬芙蓉王,25,中档,22,550
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P007,芙蓉王,软芙蓉王,35,高档,19,665
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P008,黄鹤楼,硬黄鹤楼,20,中档,25,500
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P009,黄鹤楼,软黄鹤楼,50,高档,8,400
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P010,南京,硬南京,12,低档,18,216
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P011,南京,雨花石,55,高档,6,330
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P012,黄山,硬黄山,10,低档,26,260
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P013,黄山,徽商新视界,100,高档,17,1700
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P014,玉溪,硬玉溪,23,中档,25,575
2025-01-01,S004,拱墅区旗舰体验店,拱墅区,P015,云烟,硬云烟,10,低档,44,440
2025-01-01,S005,西湖区旅游特产店,西湖区,P001,中华,硬中华,45,高档,29,1305
2025-01-01,S005,西湖区旅游特产店,西湖区,P002,中华,软中华,65,高档,6,390
2025-01-01,S005,西湖区旅游特产店,西湖区,P003,利群,硬利群,14,中档,16,224
2025-01-01,S005,西湖区旅游特产店,西湖区,P004,利群,软利群,22,中档,47,1034
2025-01-01,S005,西湖区旅游特产店,西湖区,P005,利群,阳光利群,36,高档,35,1260
2025-01-01,S005,西湖区旅游特产店,西湖区,P006,芙蓉王,硬芙蓉王,25,中档,14,350
2025-01-01,S005,西湖区旅游特产店,西湖区,P007,芙蓉王,软芙蓉王,35,高档,11,385
2025-01-01,S005,西湖区旅游特产店,西湖区,P008,黄鹤楼,硬黄鹤楼,20,中档,62,1240
2025-01-01,S005,西湖区旅游特产店,西湖区,P009,黄鹤楼,软黄鹤楼,50,高档,18,900
2025-01-01,S005,西湖区旅游特产店,西湖区,P010,南京,硬南京,12,低档,73,876
2025-01-01,S005,西湖区旅游特产店,西湖区,P011,南京,雨花石,55,高档,10,550
2025-01-01,S005,西湖区旅游特产店,西湖区,P012,黄山,硬黄山,10,低档,46,460
2025-01-01,S005,西湖区旅游特产店,西湖区,P013,黄山,徽商新视界,100,高档,25,2500
2025-01-01,S005,西湖区旅游特产店,西湖区,P014,玉溪,硬玉溪,23,中档,16,368
2025-01-01,S005,西湖区旅游特产店,西湖区,P015,云烟,硬云烟,10,低档,29,290
2025-01-01,S006,滨江区高新园店,滨江区,P001,中华,硬中华,45,高档,29,1305
2025-01-01,S006,滨江区高新园店,滨江区,P002,中华,软中华,65,高档,4,260
2025-01-01,S006,滨江区高新园店,滨江区,P003,利群,硬利群,14,中档,23,322
2025-01-01,S006,滨江区高新园店,滨江区,P004,利群,软利群,22,中档,26,572
2025-01-01,S006,滨江区高新园店,滨江区,P005,利群,阳光利群,36,高档,23,828
2025-01-01,S006,滨江区高新园店,滨江区,P006,芙蓉王,硬芙蓉王,25,中档,7,175
2025-01-01,S006,滨江区高新园店,滨江区,P007,芙蓉王,软芙蓉王,35,高档,23,805
2025-01-01,S006,滨江区高新园店,滨江区,P008,黄鹤楼,硬黄鹤楼,20,中档,10,200
2025-01-01,S006,滨江区高新园店,滨江区,P009,黄鹤楼,软黄鹤楼,50,高档,7,350
2025-01-01,S006,滨江区高新园店,滨江区,P010,南京,硬南京,12,低档,52,624
2025-01-01,S006,滨江区高新园店,滨江区,P011,南京,雨花石,55,高档,8,440
2025-01-01,S006,滨江区高新园店,滨江区,P012,黄山,硬黄山,10,低档,40,400
2025-01-01,S006,滨江区高新园店,滨江区,P013,黄山,徽商新视界,100,高档,20,2000
2025-01-01,S006,滨江区高新园店,滨江区,P014,玉溪,硬玉溪,23,中档,30,690
2025-01-01,S006,滨江区高新园店,滨江区,P015,云烟,硬云烟,10,低档,52,520
2025-01-01,S007,萧山区机场店,萧山区,P001,中华,硬中华,45,高档,24,1080
2025-01-01,S007,萧山区机场店,萧山区,P002,中华,软中华,65,高档,13,845
2025-01-01,S007,萧山区机场店,萧山区,P003,利群,硬利群,14,中档,46,644
2025-01-01,S007,萧山区机场店,萧山区,P004,利群,软利群,22,中档,37,814
2025-01-01,S007,萧山区机场店,萧山区,P005,利群,阳光利群,36,高档,16,576
2025-01-01,S007,萧山区机场店,萧山区,P006,芙蓉王,硬芙蓉王,25,中档,16,400
2025-01-01,S007,萧山区机场店,萧山区,P007,芙蓉王,软芙蓉王,35,高档,5,175
2025-01-01,S007,萧山区机场店,萧山区,P008,黄鹤楼,硬黄鹤楼,20,中档,20,400
2025-01-01,S007,萧山区机场店,萧山区,P009,黄鹤楼,软黄鹤楼,50,高档,4,200
2025-01-01,S007,萧山区机场店,萧山区,P010,南京,硬南京,12,低档,52,624
2025-01-01,S007,萧山区机场店,萧山区,P011,南京,雨花石,55,高档,8,440
2025-01-01,S007,萧山区机场店,萧山区,P012,黄山,硬黄山,10,低档,31,310
2025-01-01,S007,萧山区机场店,萧山区,P013,黄山,徽商新视界,100,高档,11,1100
2025-01-01,S007,萧山区机场店,萧山区,P014,玉溪,硬玉溪,23,中档,29,667
2025-01-01,S007,萧山区机场店,萧山区,P015,云烟,硬云烟,10,低档,24,240
2025-01-01,S008,余杭区未来科技城店,余杭区,P001,中华,硬中华,45,高档,22,990
2025-01-01,S008,余杭区未来科技城店,余杭区,P002,中华,软中华,65,高档,12,780
2025-01-01,S008,余杭区未来科技城店,余杭区,P003,利群,硬利群,14,中档,45,630
2025-01-01,S008,余杭区未来科技城店,余杭区,P004,利群,软利群,22,中档,10,220
2025-01-01,S008,余杭区未来科技城店,余杭区,P005,利群,阳光利群,36,高档,15,540
2025-01-01,S008,余杭区未来科技城店,余杭区,P006,芙蓉王,硬芙蓉王,25,中档,27,675
2025-01-01,S008,余杭区未来科技城店,余杭区,P007,芙蓉王,软芙蓉王,35,高档,21,735
2025-01-01,S008,余杭区未来科技城店,余杭区,P008,黄鹤楼,硬黄鹤楼,20,中档,46,920
2025-01-01,S008,余杭区未来科技城店,余杭区,P009,黄鹤楼,软黄鹤楼,50,高档,6,300
2025-01-01,S008,余杭区未来科技城店,余杭区,P010,南京,硬南京,12,低档,61,732
2025-01-01,S008,余杭区未来科技城店,余杭区,P011,南京,雨花石,55,高档,6,330
2025-01-01,S008,余杭区未来科技城店,余杭区,P012,黄山,硬黄山,10,低档,26,260
2025-01-01,S008,余杭区未来科技城店,余杭区,P013,黄山,徽商新视界,100,高档,8,800
2025-01-01,S008,余杭区未来科技城店,余杭区,P014,玉溪,硬玉溪,23,中档,19,437
2025-01-01,S008,余杭区未来科技城店,余杭区,P015,云烟,硬云烟,10,低档,16,160
2025-01-01,S009,临安区景区店,临安区,P001,中华,硬中华,45,高档,11,495
2025-01-01,S009,临安区景区店,临安区,P002,中华,软中华,65,高档,18,1170
2025-01-01,S009,临安区景区店,临安区,P003,利群,硬利群,14,中档,6,84
2025-01-01,S009,临安区景区店,临安区,P004,利群,软利群,22,中档,34,748
2025-01-01,S009,临安区景区店,临安区,P005,利群,阳光利群,36,高档,6,216
2025-01-01,S009,临安区景区店,临安区,P006,芙蓉王,硬芙蓉王,25,中档,18,450
2025-01-01,S009,临安区景区店,临安区,P007,芙蓉王,软芙蓉王,35,高档,12,420
2025-01-01,S009,临安区景区店,临安区,P008,黄鹤楼,硬黄鹤楼,20,中档,9,180
2025-01-01,S009,临安区景区店,临安区,P009,黄鹤楼,软黄鹤楼,50,高档,9,450
2025-01-01,S009,临安区景区店,临安区,P010,南京,硬南京,12,低档,52,624
2025-01-01,S009,临安区景区店,临安区,P011,南京,雨花石,55,高档,8,440
2025-01-01,S009,临安区景区店,临安区,P012,黄山,硬黄山,10,低档,52,520
2025-01-01,S009,临安区景区店,临安区,P013,黄山,徽商新视界,100,高档,14,1400
2025-01-01,S009,临安区景区店,临安区,P014,玉溪,硬玉溪,23,中档,17,391
2025-01-01,S009,临安区景区店,临安区,P015,云烟,硬云烟,10,低档,19,190
2025-01-01,S010,富阳区商业中心店,富阳区,P001,中华,硬中华,45,高档,4,180
2025-01-01,S010,富阳区商业中心店,富阳区,P002,中华,软中华,65,高档,14,910
2025-01-01,S010,富阳区商业中心店,富阳区,P003,利群,硬利群,14,中档,16,224
2025-01-01,S010,富阳区商业中心店,富阳区,P004,利群,软利群,22,中档,29,638
2025-01-01,S010,富阳区商业中心店,富阳区,P005,利群,阳光利群,36,高档,14,504
2025-01-01,S010,富阳区商业中心店,富阳区,P006,芙蓉王,硬芙蓉王,25,中档,22,550
2025-01-01,S010,富阳区商业中心店,富阳区,P007,芙蓉王,软芙蓉王,35,高档,6,210
2025-01-01,S010,富阳区商业中心店,富阳区,P008,黄鹤楼,硬黄鹤楼,20,中档,9,180
2025-01-01,S010,富阳区商业中心店,富阳区,P009,黄鹤楼,软黄鹤楼,50,高档,8,400
2025-01-01,S010,富阳区商业中心店,富阳区,P010,南京,硬南京,12,低档,40,480
2025-01-01,S010,富阳区商业中心店,富阳区,P011,南京,雨花石,55,高档,15,825
2025-01-01,S010,富阳区商业中心店,富阳区,P012,黄山,硬黄山,10,低档,13,130
2025-01-01,S010,富阳区商业中心店,富阳区,P013,黄山,徽商新视界,100,高档,18,1800
2025-01-01,S010,富阳区商业中心店,富阳区,P014,玉溪,硬玉溪,23,中档,22,506
2025-01-01,S010,富阳区商业中心店,富阳区,P015,云烟,硬云烟,10,低档,22,220
2025-01-02,S001,上城区卷烟专卖店,上城区,P001,中华,硬中华,45,高档,10,450
2025-01-02,S001,上城区卷烟专卖店,上城区,P002,中华,软中华,65,高档,11,715
2025-01-02,S001,上城区卷烟专卖店,上城区,P003,利群,硬利群,14,中档,29,406
2025-01-02,S001,上城区卷烟专卖店,上城区,P004,利群,软利群,22,中档,22,484
2025-01-02,S001,上城区卷烟专卖店,上城区,P005,利群,阳光利群,36,高档,4,144
2025-01-02,S001,上城区卷烟专卖店,上城区,P006,芙蓉王,硬芙蓉王,25,中档,37,925
2025-01-02,S001,上城区卷烟专卖店,上城区,P007,芙蓉王,软芙蓉王,35,高档,5,175
2025-01-02,S001,上城区卷烟专卖店,上城区,P008,黄鹤楼,硬黄鹤楼,20,中档,14,280
2025-01-02,S001,上城区卷烟专卖店,上城区,P009,黄鹤楼,软黄鹤楼,50,高档,8,400
2025-01-02,S001,上城区卷烟专卖店,上城区,P010,南京,硬南京,12,低档,15,180
2025-01-02,S001,上城区卷烟专卖店,上城区,P011,南京,雨花石,55,高档,11,605
2025-01-02,S001,上城区卷烟专卖店,上城区,P012,黄山,硬黄山,10,低档,41,410
2025-01-02,S001,上城区卷烟专卖店,上城区,P013,黄山,徽商新视界,100,高档,19,1900
2025-01-02,S001,上城区卷烟专卖店,上城区,P014,玉溪,硬玉溪,23,中档,41,943
2025-01-02,S001,上城区卷烟专卖店,上城区,P015,云烟,硬云烟,10,低档,10,100
2025-01-02,S002,下城区烟草直营店,下城区,P001,中华,硬中华,45,高档,17,765
2025-01-02,S002,下城区烟草直营店,下城区,P002,中华,软中华,65,高档,18,1170
2025-01-02,S002,下城区烟草直营店,下城区,P003,利群,硬利群,14,中档,11,154
2025-01-02,S002,下城区烟草直营店,下城区,P004,利群,软利群,22,中档,12,264
2025-01-02,S002,下城区烟草直营店,下城区,P005,利群,阳光利群,36,高档,7,252
2025-01-02,S002,下城区烟草直营店,下城区,P006,芙蓉王,硬芙蓉王,25,中档,30,750
2025-01-02,S002,下城区烟草直营店,下城区,P007,芙蓉王,软芙蓉王,35,高档,11,385
2025-01-02,S002,下城区烟草直营店,下城区,P008,黄鹤楼,硬黄鹤楼,20,中档,40,800
2025-01-02,S002,下城区烟草直营店,下城区,P009,黄鹤楼,软黄鹤楼,50,高档,17,850
2025-01-02,S002,下城区烟草直营店,下城区,P010,南京,硬南京,12,低档,10,120
2025-01-02,S002,下城区烟草直营店,下城区,P011,南京,雨花石,55,高档,17,935
2025-01-02,S002,下城区烟草直营店,下城区,P012,黄山,硬黄山,10,低档,10,100
2025-01-02,S002,下城区烟草直营店,下城区,P013,黄山,徽商新视界,100,高档,21,2100
2025-01-02,S002,下城区烟草直营店,下城区,P014,玉溪,硬玉溪,23,中档,16,368
2025-01-02,S002,下城区烟草直营店,下城区,P015,云烟,硬云烟,10,低档,41,410
2025-01-02,S003,江宁区便民烟酒店,江宁区,P001,中华,硬中华,45,高档,12,540
2025-01-02,S003,江宁区便民烟酒店,江宁区,P002,中华,软中华,65,高档,4,260
2025-01-02,S003,江宁区便民烟酒店,江宁区,P003,利群,硬利群,14,中档,36,504
2025-01-02,S003,江宁区便民烟酒店,江宁区,P004,利群,软利群,22,中档,20,440
2025-01-02,S003,江宁区便民烟酒店,江宁区,P005,利群,阳光利群,36,高档,11,396
2025-01-02,S003,江宁区便民烟酒店,江宁区,P006,芙蓉王,硬芙蓉王,25,中档,10,250
2025-01-02,S003,江宁区便民烟酒店,江宁区,P007,芙蓉王,软芙蓉王,35,高档,3,105
2025-01-02,S003,江宁区便民烟酒店,江宁区,P008,黄鹤楼,硬黄鹤楼,20,中档,41,820
2025-01-02,S003,江宁区便民烟酒店,江宁区,P009,黄鹤楼,软黄鹤楼,50,高档,4,200
2025-01-02,S003,江宁区便民烟酒店,江宁区,P010,南京,硬南京,12,低档,20,240
2025-01-02,S003,江宁区便民烟酒店,江宁区,P011,南京,雨花石,55,高档,15,825
2025-01-02,S003,江宁区便民烟酒店,江宁区,P012,黄山,硬黄山,10,低档,52,520
2025-01-02,S003,江宁区便民烟酒店,江宁区,P013,黄山,徽商新视界,100,高档,15,1500
2025-01-02,S003,江宁区便民烟酒店,江宁区,P014,玉溪,硬玉溪,23,中档,28,644
2025-01-02,S003,江宁区便民烟酒店,江宁区,P015,云烟,硬云烟,10,低档,24,240
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P001,中华,硬中华,45,高档,31,1395
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P002,中华,软中华,65,高档,13,845
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P003,利群,硬利群,14,中档,51,714
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P004,利群,软利群,22,中档,54,1188
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P005,利群,阳光利群,36,高档,29,1044
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P006,芙蓉王,硬芙蓉王,25,中档,49,1225
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P007,芙蓉王,软芙蓉王,35,高档,10,350
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P008,黄鹤楼,硬黄鹤楼,20,中档,35,700
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P009,黄鹤楼,软黄鹤楼,50,高档,6,300
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P010,南京,硬南京,12,低档,24,288
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P011,南京,雨花石,55,高档,16,880
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P012,黄山,硬黄山,10,低档,80,800
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P013,黄山,徽商新视界,100,高档,9,900
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P014,玉溪,硬玉溪,23,中档,16,368
2025-01-02,S004,拱墅区旗舰体验店,拱墅区,P015,云烟,硬云烟,10,低档,34,340
2025-01-02,S005,西湖区旅游特产店,西湖区,P001,中华,硬中华,45,高档,30,1350
2025-01-02,S005,西湖区旅游特产店,西湖区,P002,中华,软中华,65,高档,29,1885
2025-01-02,S005,西湖区旅游特产店,西湖区,P003,利群,硬利群,14,中档,60,840
2025-01-02,S005,西湖区旅游特产店,西湖区,P004,利群,软利群,22,中档,40,880
2025-01-02,S005,西湖区旅游特产店,西湖区,P005,利群,阳光利群,36,高档,4,144
2025-01-02,S005,西湖区旅游特产店,西湖区,P006,芙蓉王,硬芙蓉王,25,中档,22,550
2025-01-02,S005,西湖区旅游特产店,西湖区,P007,芙蓉王,软芙蓉王,35,高档,12,420
2025-01-02,S005,西湖区旅游特产店,西湖区,P008,黄鹤楼,硬黄鹤楼,20,中档,45,900
2025-01-02,S005,西湖区旅游特产店,西湖区,P009,黄鹤楼,软黄鹤楼,50,高档,36,1800
2025-01-02,S005,西湖区旅游特产店,西湖区,P010,南京,硬南京,12,低档,54,648
2025-01-02,S005,西湖区旅游特产店,西湖区,P011,南京,雨花石,55,高档,20,1100
2025-01-02,S005,西湖区旅游特产店,西湖区,P012,黄山,硬黄山,10,低档,58,580
2025-01-02,S005,西湖区旅游特产店,西湖区,P013,黄山,徽商新视界,100,高档,7,700
2025-01-02,S005,西湖区旅游特产店,西湖区,P014,玉溪,硬玉溪,23,中档,9,207
2025-01-02,S005,西湖区旅游特产店,西湖区,P015,云烟,硬云烟,10,低档,89,890
2025-01-02,S006,滨江区高新园店,滨江区,P001,中华,硬中华,45,高档,28,1260
2025-01-02,S006,滨江区高新园店,滨江区,P002,中华,软中华,65,高档,25,1625
2025-01-02,S006,滨江区高新园店,滨江区,P003,利群,硬利群,14,中档,22,308
2025-01-02,S006,滨江区高新园店,滨江区,P004,利群,软利群,22,中档,43,946
2025-01-02,S006,滨江区高新园店,滨江区,P005,利群,阳光利群,36,高档,19,684
2025-01-02,S006,滨江区高新园店,滨江区,P006,芙蓉王,硬芙蓉王,25,中档,12,300
2025-01-02,S006,滨江区高新园店,滨江区,P007,芙蓉王,软芙蓉王,35,高档,12,420
2025-01-02,S006,滨江区高新园店,滨江区,P008,黄鹤楼,硬黄鹤楼,20,中档,35,700
2025-01-02,S006,滨江区高新园店,滨江区,P009,黄鹤楼,软黄鹤楼,50,高档,15,750
2025-01-02,S006,滨江区高新园店,滨江区,P010,南京,硬南京,12,低档,40,480
2025-01-02,S006,滨江区高新园店,滨江区,P011,南京,雨花石,55,高档,16,880
2025-01-02,S006,滨江区高新园店,滨江区,P012,黄山,硬黄山,10,低档,39,390
2025-01-02,S006,滨江区高新园店,滨江区,P013,黄山,徽商新视界,100,高档,8,800
2025-01-02,S006,滨江区高新园店,滨江区,P014,玉溪,硬玉溪,23,中档,19,437
2025-01-02,S006,滨江区高新园店,滨江区,P015,云烟,硬云烟,10,低档,9,90
2025-01-02,S007,萧山区机场店,萧山区,P001,中华,硬中华,45,高档,10,450
2025-01-02,S007,萧山区机场店,萧山区,P002,中华,软中华,65,高档,24,1560
2025-01-02,S007,萧山区机场店,萧山区,P003,利群,硬利群,14,中档,24,336
2025-01-02,S007,萧山区机场店,萧山区,P004,利群,软利群,22,中档,34,748
2025-01-02,S007,萧山区机场店,萧山区,P005,利群,阳光利群,36,高档,21,756
2025-01-02,S007,萧山区机场店,萧山区,P006,芙蓉王,硬芙蓉王,25,中档,55,1375
2025-01-02,S007,萧山区机场店,萧山区,P007,芙蓉王,软芙蓉王,35,高档,21,735
2025-01-02,S007,萧山区机场店,萧山区,P008,黄鹤楼,硬黄鹤楼,20,中档,37,740
2025-01-02,S007,萧山区机场店,萧山区,P009,黄鹤楼,软黄鹤楼,50,高档,22,1100
2025-01-02,S007,萧山区机场店,萧山区,P010,南京,硬南京,12,低档,65,780
2025-01-02,S007,萧山区机场店,萧山区,P011,南京,雨花石,55,高档,12,660
2025-01-02,S007,萧山区机场店,萧山区,P012,黄山,硬黄山,10,低档,23,230
2025-01-02,S007,萧山区机场店,萧山区,P013,黄山,徽商新视界,100,高档,5,500
2025-01-02,S007,萧山区机场店,萧山区,P014,玉溪,硬玉溪,23,中档,35,805
2025-01-02,S007,萧山区机场店,萧山区,P015,云烟,硬云烟,10,低档,60,600
2025-01-02,S008,余杭区未来科技城店,余杭区,P001,中华,硬中华,45,高档,19,855
2025-01-02,S008,余杭区未来科技城店,余杭区,P002,中华,软中华,65,高档,18,1170
2025-01-02,S008,余杭区未来科技城店,余杭区,P003,利群,硬利群,14,中档,40,560
2025-01-02,S008,余杭区未来科技城店,余杭区,P004,利群,软利群,22,中档,23,506
2025-01-02,S008,余杭区未来科技城店,余杭区,P005,利群,阳光利群,36,高档,25,900
2025-01-02,S008,余杭区未来科技城店,余杭区,P006,芙蓉王,硬芙蓉王,25,中档,51,1275
2025-01-02,S008,余杭区未来科技城店,余杭区,P007,芙蓉王,软芙蓉王,35,高档,8,280
2025-01-02,S008,余杭区未来科技城店,余杭区,P008,黄鹤楼,硬黄鹤楼,20,中档,16,320
2025-01-02,S008,余杭区未来科技城店,余杭区,P009,黄鹤楼,软黄鹤楼,50,高档,25,1250
2025-01-02,S008,余杭区未来科技城店,余杭区,P010,南京,硬南京,12,低档,14,168
2025-01-02,S008,余杭区未来科技城店,余杭区,P011,南京,雨花石,55,高档,7,385
2025-01-02,S008,余杭区未来科技城店,余杭区,P012,黄山,硬黄山,10,低档,69,690
2025-01-02,S008,余杭区未来科技城店,余杭区,P013,黄山,徽商新视界,100,高档,23,2300
2025-01-02,S008,余杭区未来科技城店,余杭区,P014,玉溪,硬玉溪,23,中档,34,782
2025-01-02,S008,余杭区未来科技城店,余杭区,P015,云烟,硬云烟,10,低档,78,780
2025-01-02,S009,临安区景区店,临安区,P001,中华,硬中华,45,高档,16,720
2025-01-02,S009,临安区景区店,临安区,P002,中华,软中华,65,高档,12,780
2025-01-02,S009,临安区景区店,临安区,P003,利群,硬利群,14,中档,22,308
2025-01-02,S009,临安区景区店,临安区,P004,利群,软利群,22,中档,11,242
2025-01-02,S009,临安区景区店,临安区,P005,利群,阳光利群,36,高档,12,432
2025-01-02,S009,临安区景区店,临安区,P006,芙蓉王,硬芙蓉王,25,中档,27,675
2025-01-02,S009,临安区景区店,临安区,P007,芙蓉王,软芙蓉王,35,高档,14,490
2025-01-02,S009,临安区景区店,临安区,P008,黄鹤楼,硬黄鹤楼,20,中档,30,600
2025-01-02,S009,临安区景区店,临安区,P009,黄鹤楼,软黄鹤楼,50,高档,13,650
2025-01-02,S009,临安区景区店,临安区,P010,南京,硬南京,12,低档,24,288
2025-01-02,S009,临安区景区店,临安区,P011,南京,雨花石,55,高档,7,385
2025-01-02,S009,临安区景区店,临安区,P012,黄山,硬黄山,10,低档,21,210
2025-01-02,S009,临安区景区店,临安区,P013,黄山,徽商新视界,100,高档,11,1100
2025-01-02,S009,临安区景区店,临安区,P014,玉溪,硬玉溪,23,中档,8,184
2025-01-02,S009,临安区景区店,临安区,P015,云烟,硬云烟,10,低档,36,360
2025-01-02,S010,富阳区商业中心店,富阳区,P001,中华,硬中华,45,高档,7,315
2025-01-02,S010,富阳区商业中心店,富阳区,P002,中华,软中华,65,高档,13,845
2025-01-02,S010,富阳区商业中心店,富阳区,P003,利群,硬利群,14,中档,23,322
